service_name,url,full_text
карта,https://yandex.forte.kz/,карта. Яндекс Плюс Forte. Карта с кешбэком баллами Плюса Бесплатный выпуск и обслуживание картыПодписка Яндекс Плюс на 60 дней бесплатно для новых пользователейДо 20% кешбэка баллами Плюса в сервисах Яндекса1% кешбэка баллами Плюса на все покупки вне экосистемы ЯндексаБесплатные переводы до 1 000 000 ₸ в месяц
карта,https://bank.forte.kz/cards/travelcard,карта. Travel. Карта для ваших путешествий Бесплатное снятие наличных до 750 000 ₸ в месяц во всех банкоматах мира Расширенное страхование путешествий Гарантированные бонусы на категорию Путешествия
карта,https://forte.kz/blue,карта. Blue. Лучшая карта для вашей зарплаты Бесплатный выпуск и обслуживание в первый год Бесплатная доставка домой или в офис Бесплатные переводы до 500 000 ₸ в месяц Бесплатные снятия наличных до 500 000 ₸ в месяц Повышенные бонусы до 20 %
карта,https://forte.kz/black,карта. Black. Карта для всех денег Бесплатный выпуск и обслуживание в первый год Бесплатная доставка домой или в офис Бесплатные переводы до 500 000 ₸в месяц Рассрочка до и после покупки до 3 000 000 ₸ До 90 дней без процентов со дня покупки
карта,https://bank.forte.kz/solosegment/signature#!,карта. Solo Signature. Бонусы до 100 000 ₸ Доступ в бизнес-залы аэропортов Консьерж-сервис 24/7 Бонусы до 100 000 ₸ Доступ в бизнес-залы аэропортов Консьерж-сервис 24/7
карта,https://bank.forte.kz/solosegment/solo-mc-black-edition,карта. Solo Black Edition. Доступы в залы Lou ge Key Страхование путешественников Бесплатные переводы Доступы в залы Lou ge Key Страхование путешественников Бесплатные переводы
кредит,https://bank.forte.kz/ru/credits/express,"кредит. Кредит наличными. от 50 000 до 8 000 000 ₸ от 6 до 60 месяцев От 17,0% годовых до 37,9% годовых (ГЭСВ от 18,7% годовых до 46% годовых)"
кредит,https://bank.forte.kz/ru/credits#,"кредит. Рефинансирование. Рефинансируйте кредиты и платите меньше! от 17,0% годовых до 37,9% годовых (ГЭСВ от 18,7% до 46% годовых) от 50 000 до 8 000 000 ₸ от 6 до 60 месяцев"
кредит,https://bank.forte.kz/ru/rassrochka,кредит. Рассрочка. рассрочка от 10 000 до 3 000 000 ₸ от 3 мес. – 12 мес. 0% годовых
кредит,https://bank.forte.kz/ru/credits/neotlozhnye-nuzhdy,"кредит. Залоговый кредит. от 500 000 до 200 000 000 ₸ от 12 до 120 месяцев от 19,99% до 20,99 % годовых (ГЭСВ от 20,8 % до 35 %)"
кредит,https://bank.forte.kz/credits/refenansirovanye-zalogovyh-creditov,"кредит. Рефинансиро вание залоговое. от 500 000 до 200 000 000 ₸ от 12 до 120 месяцев выгодные ставки от 15 % до 18,99 % годовых (ГЭСВ от 16,1 % до 35 %)"
кредит,https://bank.forte.kz/ru/credits/ipoteka,"кредит. Ипотека с залогом. от 500 000 до 200 000 000 ₸ от 60 до 180 месяцев От 17,5% годовых до 20% годовых (ГЭСВ от 19,5% до 25% годовых) Первоначальный взнос от 15%"
кредит,https://bank.forte.kz/ru/auto-loan,"кредит. Автокредит. от 1 000 000 до 35 000 000 ₸ от 12 до 84 месяцев от 0,01% до 22,5% годовых (ГЭСВ от 0,1% до 25,3%) первоначальный взнос от 10%"
кредит,https://bank.forte.kz/ru/autoloans,"кредит. Льготный автокредит. от 1 000 000 до 10 000 000 ₸ до 7 лет 4% годовых (ГЭСВ от 4,2% до 7,5%)"
депозит,https://bank.forte.kz/so-snyatiem,депозит. Депозит со снятием. Валюта - KZT/USD Мин. сумма - 1 000₸/10$
депозит,https://bank.forte.kz/sberegatelnyi,депозит. Сберегательный вклад. Валюта - KZT Мин. сумма - 100 000₸
депозит,https://bank.forte.kz/bez-snyatiya,депозит. Депозит без снятия. Валюта - KZT/USD Мин. сумма - 100 000₸/300$
перевод,https://bank.forte.kz/ru/transferbynumber,перевод. По номеру телефона. Комиссия 0 ₸ Внутри Forte и на другие банки Казахстана  
перевод,https://bank.forte.kz/transferbycards,перевод. На карту. Комиссия 0₸ за переводы на все карты банков Казахстана Доступны переводы на карты всех банков мира  
перевод,https://bank.forte.kz/transferbyaccount,перевод. На счёт. 0 ₸ комиссия на счета внутри Forte На счета (IBAN) физических и юридических лиц внутри Казахстана  
перевод,https://bank.forte.kz/transfers/alem,перевод. Alem. Комиссия от 3 USD Поступление за 1 день  
перевод,https://bank.forte.kz/zolotaya-korona,перевод. Золотая Корона. 0 ₸ комиссия при переводе в тенге Максимальная сумма до 10 000 USD  
перевод,https://bank.forte.kz/swift,перевод. Swift. В течение трёх рабочих дней в любой банк мира Без ограничений по сумме  
зарплатный проект,,"зарплатный проект. Blue. Карта для вашей зарплаты, личных денег — удобно тратить, хранить, переводить и зарабатывать В этой карте есть: бесплатное обслуживание бесплатная доставка физической карты поддержка Apple Pay и Samsu g Pay защищенный CVV/CVС - код, который видите только вы в приложении Forte переводы денег по QR-коду Личные деньги: бесплатные переводы до 500 000 ₸ в месяц на все банки Казахстана бесплатное снятие до 500 000 ₸ в месяц во всех банкоматах мира бесплатные снятия зарплаты До 7 000 000 тенге в рамках зарплатного проекта в банкоматах на территории РК бонусы до 15% на выбранную категорию покупок бонусы до 25% в сети партнёров С этой картой нет: платы за оформление и обслуживание необходимости ходить в отделение"
зарплатный проект,,"зарплатный проект. Black. Карта для всех ваших денег: зарплаты, личных денег, кредитов и рассрочек до 3 000 000 тенге В этой карте есть: бесплатное обслуживание бесплатная доставка физической карты поддержка Apple Pay и Samsu g Pay защищенный CVV-код, который видите только вы в своем приложении переводы денег по QR-коду реферальная программа Личные деньги: бесплатные переводы до 500 000₸ в месяц на все банки Казахстана бесплатное снятие до 500 000₸ в месяц во всех банкоматах мира бонусы до 15% на выбранную категорию покупок бонусы до 25% в сети партнёров Кредитные деньги: кредитный лимит до 3 000 000₸ с льготным периодом 90 дней бесплатные переводы до 400 000₸ в месяц на все банки Казахстана рассрочка на любую сумму: от капучино до стиральной машины рассрочка на любую покупку — бесплатно на 3 месяца и до 36 месяцев за доплату, оформить можно как до, так и после оплаты С этой картой нет: платы за оформление и обслуживание необходимости ходить в отделение лишних комиссий ограничений по рассрочке и кредиту"
зарплатный проект,,"зарплатный проект. Solo. Карта для вашей зарплаты и других личных денег — удобно тратить, хранить, переводить и зарабатывать"
